Date,MW
31-07-2018 23:00,35950
31-07-2018 22:00,38610
31-07-2018 21:00,39938
31-07-2018 20:00,40289
31-07-2018 19:00,41299
31-07-2018 18:00,42011
31-07-2018 17:00,41747
31-07-2018 16:00,41003
31-07-2018 15:00,40464
31-07-2018 14:00,39928
31-07-2018 13:00,39084
31-07-2018 12:00,37977
31-07-2018 11:00,36507
31-07-2018 10:00,34799
31-07-2018 09:00,33056
31-07-2018 08:00,31217
31-07-2018 07:00,28913
31-07-2018 06:00,26863
31-07-2018 05:00,25408
31-07-2018 04:00,25050
31-07-2018 03:00,25356
31-07-2018 02:00,26192
31-07-2018 01:00,27576
31-07-2018 00:00,29701
30-07-2018 23:00,32303
30-07-2018 22:00,34879
30-07-2018 21:00,35899
30-07-2018 20:00,36166
30-07-2018 19:00,36901
30-07-2018 18:00,37564
30-07-2018 17:00,37600
30-07-2018 16:00,37615
30-07-2018 15:00,37624
30-07-2018 14:00,37671
30-07-2018 13:00,37228
30-07-2018 12:00,36747
30-07-2018 11:00,36060
30-07-2018 10:00,34779
30-07-2018 09:00,33081
30-07-2018 08:00,31050
30-07-2018 07:00,28676
30-07-2018 06:00,26824
30-07-2018 05:00,25479
30-07-2018 04:00,25200
30-07-2018 03:00,25675
30-07-2018 02:00,26779
30-07-2018 01:00,28389
30-07-2018 00:00,30789
29-07-2018 23:00,33747
29-07-2018 22:00,36581
29-07-2018 21:00,37870
29-07-2018 20:00,39089
29-07-2018 19:00,40517
29-07-2018 18:00,40709
29-07-2018 17:00,39906
29-07-2018 16:00,38637
29-07-2018 15:00,37250
29-07-2018 14:00,35770
29-07-2018 13:00,34226
29-07-2018 12:00,32581
29-07-2018 11:00,30917
29-07-2018 10:00,29021
29-07-2018 09:00,27022
29-07-2018 08:00,25175
29-07-2018 07:00,24161
29-07-2018 06:00,24255
29-07-2018 05:00,24494
29-07-2018 04:00,25090
29-07-2018 03:00,26103
29-07-2018 02:00,27473
29-07-2018 01:00,29376
29-07-2018 00:00,31940
28-07-2018 23:00,34687
28-07-2018 22:00,37375
28-07-2018 21:00,38869
28-07-2018 20:00,40498
28-07-2018 19:00,42174
28-07-2018 18:00,42835
28-07-2018 17:00,42632
28-07-2018 16:00,42088
28-07-2018 15:00,41303
28-07-2018 14:00,40057
28-07-2018 13:00,38708
28-07-2018 12:00,37024
28-07-2018 11:00,34997
28-07-2018 10:00,32944
28-07-2018 09:00,30618
28-07-2018 08:00,28155
28-07-2018 07:00,26570
28-07-2018 06:00,26178
28-07-2018 05:00,25964
28-07-2018 04:00,26276
28-07-2018 03:00,27069
28-07-2018 02:00,28324
28-07-2018 01:00,30085
28-07-2018 00:00,32468
27-07-2018 23:00,35038
27-07-2018 22:00,37618
