Date,MW,Day
31-07-2018 23:00,35950,3
31-07-2018 22:00,38610,3
31-07-2018 21:00,39938,3
31-07-2018 20:00,40289,3
31-07-2018 19:00,41299,3
31-07-2018 18:00,42011,3
31-07-2018 17:00,41747,3
31-07-2018 16:00,41003,3
31-07-2018 15:00,40464,3
31-07-2018 14:00,39928,3
31-07-2018 13:00,39084,3
31-07-2018 12:00,37977,3
31-07-2018 11:00,36507,3
31-07-2018 10:00,34799,3
31-07-2018 09:00,33056,3
31-07-2018 08:00,31217,3
31-07-2018 07:00,28913,3
31-07-2018 06:00,26863,3
31-07-2018 05:00,25408,3
31-07-2018 04:00,25050,3
31-07-2018 03:00,25356,3
31-07-2018 02:00,26192,3
31-07-2018 01:00,27576,3
31-07-2018 00:00,29701,3
30-07-2018 23:00,32303,2
30-07-2018 22:00,34879,2
30-07-2018 21:00,35899,2
30-07-2018 20:00,36166,2
30-07-2018 19:00,36901,2
30-07-2018 18:00,37564,2
30-07-2018 17:00,37600,2
30-07-2018 16:00,37615,2
30-07-2018 15:00,37624,2
30-07-2018 14:00,37671,2
30-07-2018 13:00,37228,2
30-07-2018 12:00,36747,2
30-07-2018 11:00,36060,2
30-07-2018 10:00,34779,2
30-07-2018 09:00,33081,2
30-07-2018 08:00,31050,2
30-07-2018 07:00,28676,2
30-07-2018 06:00,26824,2
30-07-2018 05:00,25479,2
30-07-2018 04:00,25200,2
30-07-2018 03:00,25675,2
30-07-2018 02:00,26779,2
30-07-2018 01:00,28389,2
30-07-2018 00:00,30789,2
29-07-2018 23:00,33747,1
29-07-2018 22:00,36581,1
29-07-2018 21:00,37870,1
29-07-2018 20:00,39089,1
29-07-2018 19:00,40517,1
29-07-2018 18:00,40709,1
29-07-2018 17:00,39906,1
29-07-2018 16:00,38637,1
29-07-2018 15:00,37250,1
29-07-2018 14:00,35770,1
29-07-2018 13:00,34226,1
29-07-2018 12:00,32581,1
29-07-2018 11:00,30917,1
29-07-2018 10:00,29021,1
29-07-2018 09:00,27022,1
29-07-2018 08:00,25175,1
29-07-2018 07:00,24161,1
29-07-2018 06:00,24255,1
29-07-2018 05:00,24494,1
29-07-2018 04:00,25090,1
29-07-2018 03:00,26103,1
29-07-2018 02:00,27473,1
29-07-2018 01:00,29376,1
29-07-2018 00:00,31940,1
28-07-2018 23:00,34687,7
28-07-2018 22:00,37375,7
28-07-2018 21:00,38869,7
28-07-2018 20:00,40498,7
28-07-2018 19:00,42174,7
28-07-2018 18:00,42835,7
28-07-2018 17:00,42632,7
28-07-2018 16:00,42088,7
28-07-2018 15:00,41303,7
28-07-2018 14:00,40057,7
28-07-2018 13:00,38708,7
28-07-2018 12:00,37024,7
28-07-2018 11:00,34997,7
28-07-2018 10:00,32944,7
28-07-2018 09:00,30618,7
28-07-2018 08:00,28155,7
28-07-2018 07:00,26570,7
28-07-2018 06:00,26178,7
28-07-2018 05:00,25964,7
28-07-2018 04:00,26276,7
28-07-2018 03:00,27069,7
28-07-2018 02:00,28324,7
28-07-2018 01:00,30085,7
28-07-2018 00:00,32468,7
27-07-2018 23:00,35038,6
27-07-2018 22:00,37618,6
27-07-2018 21:00,39275,6
27-07-2018 20:00,40883,6
27-07-2018 19:00,42950,6
27-07-2018 18:00,45572,6
27-07-2018 17:00,46864,6
27-07-2018 16:00,46988,6
27-07-2018 15:00,47401,6
27-07-2018 14:00,46850,6
27-07-2018 13:00,45475,6
27-07-2018 12:00,43895,6
27-07-2018 11:00,41832,6
27-07-2018 10:00,39094,6
27-07-2018 09:00,36528,6
27-07-2018 08:00,33962,6
27-07-2018 07:00,31386,6
27-07-2018 06:00,29535,6
27-07-2018 05:00,28437,6
27-07-2018 04:00,28422,6
27-07-2018 03:00,29279,6
27-07-2018 02:00,30772,6
27-07-2018 01:00,32798,6
27-07-2018 00:00,35742,6
26-07-2018 23:00,39276,5
26-07-2018 22:00,42638,5
26-07-2018 21:00,44542,5
26-07-2018 20:00,46337,5
26-07-2018 19:00,48261,5
26-07-2018 18:00,49029,5
26-07-2018 17:00,48525,5
26-07-2018 16:00,47369,5
26-07-2018 15:00,45954,5
26-07-2018 14:00,44214,5
26-07-2018 13:00,42325,5
26-07-2018 12:00,40547,5
26-07-2018 11:00,38660,5
26-07-2018 10:00,36666,5
26-07-2018 09:00,35105,5
26-07-2018 08:00,33358,5
26-07-2018 07:00,31020,5
26-07-2018 06:00,29005,5
26-07-2018 05:00,27625,5
26-07-2018 04:00,27402,5
26-07-2018 03:00,27796,5
26-07-2018 02:00,28810,5
26-07-2018 01:00,30293,5
26-07-2018 00:00,32551,5
25-07-2018 23:00,35368,4
25-07-2018 22:00,38033,4
25-07-2018 21:00,39434,4
25-07-2018 20:00,40182,4
25-07-2018 19:00,41387,4
25-07-2018 18:00,42707,4
25-07-2018 17:00,43216,4
25-07-2018 16:00,43279,4
